Date,Description,Category,Amount,Currency,Tax Deductible,Notes
2024-12-12,ENOC PETROL,Travel,124,AED,Yes,
2025-03-20,EMARAT PETROL,Travel,135.09,AED,Yes,
2025-03-01,ENOC PETROL,Travel,142.02,AED,Yes,
2025-02-08,EMARAT PETROL,Travel,142.08,AED,Yes,
2024-08-08,ENOC PETROL,Travel,151.01,AED,Yes,
2024-11-14,ENOC PETROL,Travel,139.23,AED,Yes,
2025-04-21,ENOC PETRO,Travel,129.03,AED,Yes,
2025-01-26,ENOC PETROL,Travel,126.02,AED,Yes,
2025-02-13,ENOC PETROL,Travel,99.23,AED,Yes,
2025-02-03,ENOC PETROL,Travel,127.26,AED,Yes,
2025-04-04,ENOC PETROL,Travel,137.89,AED,Yes,
2025-02-10,ENOC PETRO,Travel,120.78,AED,Yes,
2025-03-06,ENOC PETROL,Travel,133.11,AED,Yes,
2025-03-14,ENOC PETRO,Travel,145.03,AED,Yes,
2024-06-11,ADNOC PETROL,Travel,172.29,AED,Yes,
2025-04-16,ADNOC PETRO,Travel,123.96,AED,Yes,
2025-04-10,ADNOC PTROL,Travel,132.76,AED,Yes,
2024-06-20,ADNOC PETROL,Travel,144.33,AED,Yes,
2024-11-29,ADNOC PETROL,Travel,129.72,AED,Yes,
2024-12-06,ADNOC PETROL,Travel,132.5,AED,Yes,
2025-06-11,ENOC PETROL,Travel,128.9,AED,Yes,
2025-05-01,ENOC PETROL,Travel,127,AED,Yes,
2025-06-16,ENOC RETAIL,Travel,142.47,AED,Yes,
2025-06-22,ENOC PETROL,Travel,113.06,AED,Yes,
2025-07-11,ENOC PETROL,Travel,146,AED,Yes,
2025-05-24,EMARAT PETROL,Travel,150,AED,Yes,
2025-07-21,ENOC PETROL,Travel,154.16,AED,Yes,
2025-05-08,ENOC PETROL,Travel,148.03,AED,Yes,
2025-07-01,ENOC PETROL,Travel,150,AED,Yes,
2025-07-10,ENOC PETROL,Travel,138.8,AED,Yes,
2025-08-08,ENOC PETROL,Travel,127.42,AED,Yes,
2025-08-13,ENOC PETROL,Travel,146,AED,Yes,
2025-08-19,ADNOCPETROL,Travel,120.02,AED,Yes,
2025-05-12,ADNOC PETROL,Travel,140.01,AED,Yes,
2025-07-27,ADNOC PETROL,Travel,151.14,AED,Yes,
2025-08-01,ADNOC PETROL,Travel,158.06,AED,Yes,
2025-08-23,ADNOC PETROL,Travel,147.12,AED,Yes,
2025-05-14,ADNOC PETROL,Travel,128.82,AED,Yes,
2025-08-22,OMNIYAT PARKING,Travel,45,AED,Yes,
2025-04-24,ABC COFFEE ROASTERS,Other,38,AED,Yes,MEETING WITH MAYIAM FROM DCT
2025-08-13,NARA RESTURANT,Other,196,AED,Yes,MEETING WITH MARIAM FROM DCT
2025-01-10,BETTERTOGETHER CAFE,Other,36,AED,Yes,MEETING WITH CLIENT
2025-05-11,MEYDAN FREE ZONE,Licensing,12125,AED,Yes,"RENEWAL WITH A CREDIT OF AED2,020.00"
2024-05-22,METDAN FREE ZONE,Licensing,12520,AED,Yes,
2024-07-10,Accountant Box,Professional,500,AED,Yes,
2024-08-02,Wio Bank Subscription fee,Licensing,99,AED,Yes,
2024-09-02,Wio Bank Subscription fee,Licensing,99,AED,Yes,
2024-10-02,Wio Bank Subscription fee,Licensing,99,AED,Yes,
2024-11-02,Wio Bank Subscription fee,Licensing,99,AED,Yes,
2024-12-02,Wio Bank Subscription fee,Licensing,99,AED,Yes,
2025-01-02,Wio Bank Subscription fee,Licensing,99,AED,Yes,
2025-02-02,Wio Bank Subscription fee,Licensing,99,AED,Yes,
2025-03-02,Wio Bank Subscription fee,Licensing,99,AED,Yes,
2025-04-02,Wio Bank Subscription fee,Licensing,99,AED,Yes,
2025-05-02,Wio Bank Subscription fee,Licensing,99,AED,Yes,
2025-06-02,Wio Bank Subscription fee,Licensing,99,AED,Yes,
2025-07-02,Wio Bank Subscription fee,Licensing,99,AED,Yes,
2025-08-02,Wio Bank Subscription fee,Licensing,99,AED,Yes,
2025-09-02,Wio Bank Subscription fee (monthly),Licensing,99,AED,Yes,| Recurring: monthly
2024-08-30,Cliff's Salary,Salary,20000,AED,Yes,
2024-10-30,Cliff's Salary,Salary,22000,AED,Yes,
2024-10-09,Cliff's Salary,Salary,6000,AED,Yes,
2024-11-16,Cliff's Salary,Salary,8000,AED,Yes,
2024-12-29,Cliff's Salary,Salary,8000,AED,Yes,
2024-12-15,Cliff's Salary,Salary,5500,AED,Yes,
2024-12-04,Cliff's Salary,Salary,8000,AED,Yes,
2025-01-30,Cliff's Salary,Salary,97000,AED,Yes,
2025-02-05,Cliff's Salary,Salary,25000,AED,Yes,
2025-03-05,Cliff's Salary,Salary,21000,AED,Yes,
2025-04-29,Cliff's Salary,Salary,8000,AED,Yes,
2025-04-02,Cliff's Salary,Salary,10500,AED,Yes,
2025-06-01,Cliff's Salary,Salary,6500,AED,Yes,
2025-07-19,Cliff's Salary,Salary,6000,AED,Yes,
